Address,LP,Agent,MLS,Zillow URL,Redfin URL,Coldwell Banker URL
205 10th St #8V,"$639,000",Andy Elkins,202023573,https://www.zillow.com/homedetails/205-10th-St-APT-8V-Jersey-City-NJ-07302/2077478011_zpid/?view=public,https://www.redfin.com/NJ/Jersey-City/205-10th-St-07302/unit-8V/home/173433600,https://www.coldwellbankerhomes.com/nj/jersey-city/205-10th-st-8v/pid_38490669/
650 2nd St #2L,"$849,000",Bruna Santana,202019390,"https://www.zillow.com/homes/650-2nd-St-APT-2L,-Hoboken,-NJ-07030_rb/88862179_zpid/",https://www.redfin.com/NJ/Hoboken/650-2nd-St-07030/unit-2L/home/36427568,https://www.coldwellbankerhomes.com/nj/hoboken/650-2nd-st-2l/pid_37856855/
218 Jefferson St #8,"$445,000",Bruna Santana,202023986,https://www.zillow.com/homes/202023986_rb/108622869_zpid/,https://www.redfin.com/NJ/Hoboken/218-Jefferson-St-07030/unit-8/home/39922549,https://www.coldwellbankerhomes.com/nj/hoboken/218-jefferson-st-8/pid_38552610/
609 Jefferson St #4A,"$649,000",Elysa Lyons,202023440,https://www.zillow.com/homes/202023440_rb/55346620_zpid/,https://www.redfin.com/NJ/Hoboken/609-Jefferson-St-07030/unit-4A/home/36650701,https://www.coldwellbankerhomes.com/nj/hoboken/609-jefferson-st-4a/pid_38470159/
6600 Blvd E #9K,"$280,000",Erica Pransky,202023556,https://www.zillow.com/homedetails/6600-Blvd-E-APT-9K-West-New-York-NJ-07093/2083809279_zpid/?view=public,https://www.redfin.com/NJ/West-New-York/6600-JFK-Blvd-E-07093/unit-9K/home/59144954,https://www.coldwellbankerhomes.com/nj/west-new-york/6600-blvd-e-9k/pid_38488296/
154 Bowers St #1C,"$339,900",Francisco Ferreira,202024238,https://www.zillow.com/homes/202024238_rb/38896873_zpid/,https://www.redfin.com/NJ/Jersey-City/154-Bowers-St-07307/unit-1C/home/173213335,https://www.coldwellbankerhomes.com/nj/jersey-city/154-bowers-st-1c/pid_38583255/
20 East 43rd St,"$525,000",Jeremy Lindberg,202011038,https://www.zillow.com/homes/202011038_rb/38870506_zpid/,https://www.redfin.com/NJ/Bayonne/20-E-43rd-St-07002/home/36463923,https://www.coldwellbankerhomes.com/nj/bayonne/20-east-43rd-st/pid_36523174/
604-606 Grand St #1,"$899,000",Jill Biggs,202016297,https://www.zillow.com/homedetails/604-606-Grand-St-1-Hoboken-NJ-07030/108632712_zpid/?view=public,https://www.redfin.com/NJ/Hoboken/604-Grand-St-07030/unit-1/home/39921891,https://www.coldwellbankerhomes.com/nj/hoboken/604-606-grand-st-1/pid_37325335/
369 Park Ave,"$1,599,000",Jill Biggs,202016769,https://www.zillow.com/homedetails/369-Park-Ave-Weehawken-NJ-07086/2078302584_zpid/?view=public,https://www.redfin.com/NJ/Weehawken/369-Park-Ave-07086/home/172689922,https://www.coldwellbankerhomes.com/nj/weehawken/369-park-ave/pid_37447822/
357 Park Ave,"$1,199,000",Jill Biggs,202024603,https://www.zillow.com/homedetails/357-Park-Ave-Weehawken-NJ-07086/2077358151_zpid/?view=public,https://www.redfin.com/NJ/Weehawken/357-Park-Ave-07086/home/173531770,https://www.coldwellbankerhomes.com/nj/weehawken/357-park-ave/pid_38643138/
365 Park Ave,"$1,399,000",Jill Biggs,202024608,https://www.zillow.com/homedetails/365-Park-Ave-Weehawken-NJ-07086/2077358150_zpid/?view=public,https://www.redfin.com/NJ/Weehawken/365-Park-Ave-07086/home/173531791,https://www.coldwellbankerhomes.com/nj/weehawken/365-park-ave/pid_38643141/
116 Bloomfield St #1,"$1,899,000",Jill Biggs,202014652,https://www.zillow.com/homedetails/116-Bloomfield-St-1-Hoboken-NJ-07030/121880643_zpid/?view=public,https://www.redfin.com/NJ/Hoboken/116-Bloomfield-St-07030/unit-1/home/56314353,https://www.coldwellbankerhomes.com/nj/hoboken/116-bloomfield-st-1/pid_37078250/
709 Monroe St #3,"$625,000",Jill Biggs,202018004,,https://www.redfin.com/NJ/Hoboken/709-Monroe-St-07030/unit-3/home/36427803,
288 Griffith St #1,"$799,000",Jill Biggs,202023970,https://www.zillow.com/homedetails/288-Griffith-St-FLOOR-1-Jersey-City-NJ-07307/2078392780_zpid/?view=public,https://www.redfin.com/NJ/Jersey-City/288-Griffith-St-07307/unit-1/home/172657063,https://www.coldwellbankerhomes.com/nj/jersey-city/288-griffith-st-1/pid_38550404/
288 Griffith St #2,"$775,000",Jill Biggs,202023971,https://www.zillow.com/homedetails/288-Griffith-St-FLOOR-2-Jersey-City-NJ-07307/2078392789_zpid/?view=public,https://www.redfin.com/NJ/Jersey-City/288-Griffith-St-07307/unit-2/home/172657064,https://www.coldwellbankerhomes.com/nj/jersey-city/288-griffith-st-2/pid_38550652/
290 Griffith St #1,"$799,000",Jill Biggs,202023972,https://www.zillow.com/homedetails/290-Griffith-St-1-Jersey-City-NJ-07307/2078392787_zpid/?view=public,https://www.redfin.com/NJ/Jersey-City/290-Griffith-St-07307/unit-1/home/172657073,https://www.coldwellbankerhomes.com/nj/jersey-city/290-griffith-st-1/pid_38550653/
290 Griffith St #2,"$775,000",Jill Biggs,202023973,https://www.zillow.com/homedetails/288-Griffith-St-FLOOR-2-Jersey-City-NJ-07307/2078392789_zpid/?view=public,https://www.redfin.com/NJ/Jersey-City/290-Griffith-St-07307/unit-2/home/172657074,https://www.coldwellbankerhomes.com/nj/jersey-city/290-griffith-st-2/pid_38550654/
